# minplus histogram
# N=12  p=0.4687500000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000000703210  wall=2.876s
value,count
1,13096
2,7380
3,5077
4,4002
5,3305
6,2653
7,2366
8,1967
9,1859
10,1620
11,1396
12,1377
13,1266
14,1154
15,1068
16,985
17,950
18,918
19,881
20,848
21,765
22,740
23,667
24,684
25,651
26,585
27,585
28,556
29,513
30,487
31,518
32,515
33,479
34,459
35,457
36,427
37,409
38,444
39,375
40,405
41,386
42,337
43,372
44,329
45,347
46,320
47,319
48,323
49,284
50,309
51,296
52,257
53,245
54,277
55,263
56,265
57,278
58,255
59,223
60,240
61,234
62,212
63,212
64,222
65,227
66,208
67,218
68,206
69,207
70,190
71,193
72,205
73,174
74,182
75,197
76,178
77,177
78,183
79,174
80,179
81,171
82,185
83,170
84,161
85,171
86,142
87,149
88,160
89,154
90,154
91,130
92,164
93,154
94,145
95,129
96,136
97,143
98,123
99,140
100,130
101,142
102,136
103,107
104,130
105,107
106,131
107,125
108,109
109,138
110,120
111,117
112,104
113,113
114,121
115,127
116,122
117,101
118,114
119,106
120,125
121,91
122,123
123,116
124,109
125,125
126,97
127,104
128,107
129,110
130,91
131,99
132,98
133,97
134,110
135,89
136,86
137,90
138,105
139,81
140,78
141,83
142,87
143,90
144,79
145,79
146,95
147,100
148,84
149,85
150,101
151,78
152,73
153,97
154,85
155,69
156,78
157,66
158,77
159,64
160,84
161,73
162,74
163,72
164,65
165,56
166,75
167,75
168,68
169,69
170,57
171,59
172,70
173,65
174,63
175,64
176,60
177,63
178,55
179,68
180,63
181,56
182,71
183,49
184,47
185,74
186,65
187,64
188,71
189,57
190,54
191,49
192,63
193,46
194,64
195,52
196,59
197,61
198,48
199,50
200,58
201,66
202,65
203,53
204,60
205,65
206,57
207,67
208,51
209,66
210,42
211,51
212,59
213,43
214,54
215,46
216,58
217,52
218,62
219,64
220,68
221,49
222,48
223,71
224,43
225,36
226,45
227,45
228,48
229,40
230,52
231,60
232,54
233,52
234,47
235,51
236,39
237,47
238,53
239,38
240,52
241,53
242,43
243,40
244,55
245,39
246,54
247,32
248,34
249,35
250,53
251,41
252,34
253,36
254,38
255,48
256,41
257,45
258,51
259,41
260,45
261,44
262,30
263,34
264,34
265,51
266,45
267,41
268,40
269,42
270,36
271,38
272,35
273,34
274,41
275,34
276,33
277,36
278,36
279,40
280,32
281,39
282,38
283,41
284,26
285,27
286,27
287,39
288,39
289,34
290,29
291,24
292,43
293,33
294,32
295,37
296,27
297,34
298,25
299,40
300,35
301,28
302,34
303,37
304,38
305,25
306,26
307,35
308,27
309,36
310,34
311,27
312,32
313,28
314,30
315,33
316,28
317,27
318,41
319,31
320,36
321,31
322,26
323,31
324,24
325,33
326,28
327,24
328,28
329,23
330,33
331,27
332,32
333,24
334,30
335,25
336,39
337,33
338,23
339,26
340,29
341,20
342,32
343,28
344,22
345,29
346,28
347,25
348,26
349,32
350,21
351,29
352,22
353,21
354,32
355,27
356,26
357,24
358,27
359,34
360,34
361,36
362,30
363,24
364,30
365,23
366,19
367,27
368,23
369,20
370,18
371,24
372,22
373,25
374,25
375,14
376,26
377,24
378,25
379,28
380,20
381,24
382,28
383,21
384,23
385,29
386,31
387,18
388,25
389,28
390,19
391,23
392,16
393,19
394,35
395,27
396,23
397,30
398,18
399,24
400,19
401,20
402,17
403,22
404,22
405,18
406,19
407,25
408,15
409,19
410,15
411,23
412,18
413,17
414,34
415,20
416,12
417,31
418,17
419,10
420,22
421,25
422,24
423,16
424,30
425,29
426,20
427,24
428,19
429,19
430,20
431,23
432,20
433,17
434,20
435,13
436,19
437,25
438,13
439,23
440,17
441,22
