# minplus histogram
# N=1  p=0.5000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000002000036  wall=0.003s
value,count
1,4738
2,2911
3,2139
4,1744
5,1527
6,1294
7,1123
8,1043
9,895
10,840
11,780
12,748
13,703
14,663
15,601
16,581
17,552
18,570
19,559
20,507
21,471
22,448
23,458
24,401
25,422
26,362
27,399
28,360
29,379
30,335
31,327
32,342
33,345
34,321
35,313
36,292
37,289
38,285
39,287
40,288
41,294
42,295
43,264
44,248
45,284
46,245
47,245
48,250
49,237
50,206
51,249
52,224
53,215
54,210
55,229
56,205
57,214
58,163
59,205
60,204
61,181
62,179
63,191
64,171
65,169
66,140
67,168
68,188
69,173
70,158
71,159
72,166
73,161
74,183
75,156
76,174
77,167
78,162
79,155
80,147
81,146
82,143
83,155
84,155
85,146
86,142
87,153
88,134
89,142
90,111
91,138
92,117
93,138
94,128
95,127
96,138
97,138
98,125
99,131
100,117
101,115
102,110
103,124
104,108
105,111
106,122
107,113
108,119
109,129
110,112
111,105
112,126
113,109
114,105
115,89
116,107
117,106
118,101
119,114
120,113
121,108
122,119
123,123
124,104
125,97
126,114
127,94
128,104
129,98
130,87
131,101
132,116
133,91
134,114
135,96
136,94
137,108
138,86
139,82
140,85
141,77
142,94
143,101
144,100
145,86
146,78
147,80
148,95
149,86
150,69
151,95
152,79
153,79
154,106
155,85
156,87
157,83
158,80
159,85
160,76
161,93
162,78
163,87
164,92
165,80
166,86
167,91
168,63
169,83
170,76
171,66
172,78
173,66
174,74
175,75
176,94
177,87
178,73
179,93
180,66
181,86
182,68
183,63
184,70
185,70
186,74
187,83
188,80
189,82
190,76
191,77
192,80
193,69
194,70
195,66
196,65
197,69
198,57
199,65
200,72
201,55
202,64
203,60
204,67
205,69
206,64
207,60
208,65
209,67
210,71
211,65
212,51
213,63
214,60
215,52
216,62
217,67
218,53
219,65
220,60
221,72
222,53
223,60
224,62
225,67
226,69
227,62
228,56
229,61
230,60
231,61
232,71
233,51
234,61
235,45
236,54
237,67
238,58
239,53
240,57
241,58
242,67
243,45
244,58
245,65
246,67
247,43
248,41
249,67
250,42
251,64
252,50
253,67
254,59
255,70
256,61
257,56
258,59
259,55
260,55
261,65
262,48
263,60
264,61
265,57
266,56
267,55
268,44
269,47
270,61
271,63
272,45
273,52
274,34
275,46
276,44
277,37
278,50
279,53
280,39
281,46
282,53
283,34
284,54
285,45
286,59
287,41
288,52
289,54
290,44
291,42
292,53
293,48
294,42
295,58
296,49
297,41
298,54
299,49
300,40
301,53
302,42
303,43
304,48
305,46
306,49
307,47
308,42
309,46
310,45
311,37
312,57
313,53
314,49
315,43
316,46
317,40
318,42
319,51
320,46
321,41
322,59
323,50
324,61
325,53
326,36
327,51
328,38
329,45
330,41
331,44
332,37
333,42
334,43
335,45
336,40
337,42
338,31
339,40
340,41
341,46
342,39
343,30
344,41
345,40
346,32
347,34
348,54
349,37
350,39
351,45
352,58
353,49
354,48
355,41
356,39
357,37
358,46
359,48
360,30
361,42
362,35
363,35
364,46
365,46
366,28
367,34
368,39
369,32
370,35
371,44
372,40
373,40
374,46
375,30
376,43
377,49
378,39
379,42
380,44
381,46
382,31
383,45
384,58
385,35
386,34
387,46
388,50
389,35
390,32
391,33
392,39
393,27
394,41
395,37
396,43
397,46
398,40
399,36
400,39
401,51
402,37
403,41
404,47
405,31
406,34
407,31
408,34
409,38
410,28
411,32
412,37
413,27
414,46
415,39
416,31
417,31
418,29
419,24
420,28
421,35
422,33
423,39
424,42
425,38
426,41
427,37
428,42
429,41
430,38
431,31
432,34
433,27
434,38
435,26
436,24
437,34
438,30
439,28
440,31
441,28
442,36
443,40
444,34
445,28
446,26
447,32
448,36
449,35
450,23
451,21
452,28
453,31
454,25
455,38
456,39
457,28
458,29
459,23
460,32
461,35
462,23
463,32
464,34
465,27
466,43
467,35
468,21
469,25
470,26
471,33
472,38
473,23
474,30
475,40
476,31
477,35
478,35
479,27
480,29
481,29
482,33
483,37
484,32
485,28
486,34
487,27
488,18
489,25
490,30
491,27
492,36
493,30
494,20
495,37
496,27
497,29
498,33
499,36
500,29
501,27
502,34
503,23
504,35
505,28
506,28
507,25
508,28
509,29
510,32
511,24
512,27
513,29
514,28
515,19
516,32
517,23
518,23
519,28
520,26
521,20
522,20
523,25
524,21
525,22
526,36
527,22
528,33
529,18
530,26
531,29
532,31
533,29
534,28
535,30
536,20
537,32
538,26
539,24
540,24
541,29
542,20
543,25
544,27
545,29
546,30
547,25
548,33
549,26
550,22
551,36
552,20
553,29
554,33
555,30
556,20
557,31
558,25
559,26
560,29
561,27
562,15
563,31
564,28
565,19
566,21
567,27
568,26
569,19
570,21
571,34
572,31
573,24
574,21
575,31
576,26
577,32
578,16
579,23
580,28
581,20
582,23
583,25
584,29
585,11
586,21
587,32
588,29
589,27
590,28
591,27
592,25
593,18
594,22
595,17
596,23
597,26
598,21
599,20
600,31
601,23
602,28
603,24
604,40
605,24
606,22
607,16
608,20
609,18
610,23
611,24
612,31
613,31
614,27
615,14
616,20
617,28
618,23
619,29
620,23
621,30
622,31
623,14
624,24
625,25
626,17
627,28
628,35
629,18
630,24
631,25
632,24
633,18
634,29
635,28
636,32
637,14
638,27
639,27
640,26
641,21
642,39
643,23
644,23
645,27
646,30
647,25
648,16
649,23
650,21
651,19
652,30
653,25
654,22
655,25
656,25
657,25
658,27
659,12
660,24
661,23
662,21
663,19
664,29
665,30
666,27
667,21
668,15
669,28
670,27
671,15
672,20
673,21
674,16
675,16
676,23
677,25
678,31
679,25
680,12
681,15
682,22
683,27
684,35
685,29
686,23
687,28
688,31
689,14
690,25
691,23
692,16
693,23
694,14
695,33
696,19
697,24
698,18
699,20
700,28
701,27
702,19
703,17
704,20
705,22
706,23
707,14
708,21
709,14
710,18
711,22
712,23
713,15
714,21
715,16
716,22
717,24
718,20
719,24
720,18
721,18
722,18
723,23
724,21
725,20
726,25
727,19
728,16
729,29
730,28
731,34
732,27
733,21
734,17
735,17
736,23
737,25
738,18
739,24
740,19
741,17
742,23
743,22
744,25
745,18
746,17
747,23
748,26
749,23
750,19
751,14
752,27
753,13
754,23
755,33
756,31
757,22
758,17
759,24
760,28
761,16
762,17
763,18
764,24
765,24
766,22
767,20
768,15
769,22
770,26
771,22
772,27
773,28
774,28
775,19
776,16
777,24
778,15
779,15
780,15
781,22
782,24
783,27
784,26
785,11
786,27
787,22
788,23
789,24
790,20
791,29
792,17
793,21
794,15
795,21
796,20
797,15
798,14
799,17
800,14
801,24
802,18
803,19
804,22
805,18
806,20
807,15
808,17
809,23
810,21
811,26
812,23
813,25
814,12
815,13
816,21
817,19
818,17
819,15
820,15
821,24
822,18
823,18
824,24
825,19
826,29
827,19
828,16
829,18
830,23
831,21
832,19
833,12
834,15
835,25
836,20
837,16
838,19
839,13
840,26
841,13
842,15
843,21
844,29
845,18
846,25
847,17
848,17
849,19
850,16
851,18
852,18
853,12
854,17
855,14
856,16
857,21
858,13
859,15
860,19
861,24
862,21
863,15
864,20
865,26
866,13
867,23
868,11
869,17
870,21
871,17
872,27
873,15
874,12
875,13
876,21
877,22
878,24
879,17
880,14
881,15
882,13
883,11
884,9
885,8
886,18
887,25
888,20
889,21
890,14
891,17
892,13
893,14
894,15
895,15
896,18
897,12
898,15
899,26
900,9
901,14
902,9
903,17
904,20
905,15
906,11
907,15
908,12
909,23
910,18
911,19
912,18
913,18
914,16
915,15
916,13
917,20
918,13
919,13
920,15
921,15
922,16
923,13
924,11
925,17
926,15
927,15
928,15
929,22
930,13
931,17
932,20
933,14
