# minplus histogram
# N=9  p=0.5000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000002000044  wall=0.616s
value,count
1,4061
2,2486
3,1863
4,1498
5,1261
6,1176
7,915
8,897
9,802
10,749
11,673
12,627
13,555
14,571
15,505
16,503
17,485
18,458
19,415
20,433
21,374
22,356
23,366
24,343
25,316
26,334
27,295
28,296
29,298
30,278
31,273
32,265
33,249
34,269
35,247
36,240
37,252
38,266
39,236
40,227
41,251
42,243
43,237
44,220
45,213
46,209
47,170
48,194
49,180
50,202
51,170
52,179
53,192
54,198
55,155
56,153
57,146
58,154
59,163
60,188
61,167
62,155
63,151
64,137
65,139
66,146
67,141
68,131
69,124
70,115
71,135
72,140
73,152
74,128
75,137
76,112
77,135
78,125
79,110
80,141
81,123
82,113
83,128
84,123
85,120
86,136
87,125
88,122
89,130
90,124
91,109
92,114
93,111
94,99
95,112
96,117
97,119
98,101
99,104
100,111
101,96
102,78
103,106
104,106
105,93
106,110
107,87
108,83
109,101
110,120
111,94
112,79
113,81
114,82
115,88
116,87
117,86
118,78
119,74
120,70
121,76
122,88
123,88
124,97
125,79
126,78
127,83
128,93
129,88
130,81
131,73
132,73
133,96
134,78
135,67
136,93
137,80
138,69
139,68
140,81
141,95
142,62
143,76
144,61
145,72
146,69
147,76
148,73
149,71
150,68
151,68
152,67
153,80
154,74
155,81
156,66
157,71
158,71
159,80
160,66
161,77
162,55
163,64
164,76
165,56
166,69
167,70
168,71
169,68
170,75
171,61
172,70
173,63
174,49
175,65
176,76
177,47
178,62
179,57
180,49
181,67
182,63
183,67
184,55
185,43
186,60
187,53
188,56
189,67
190,55
191,56
192,59
193,55
194,55
195,42
196,55
197,67
198,57
199,53
200,77
201,61
202,55
203,60
204,69
205,62
206,56
207,46
208,54
209,63
210,50
211,59
212,59
213,65
214,44
215,48
216,50
217,59
218,57
219,76
220,52
221,55
222,48
223,49
224,42
225,49
226,50
227,48
228,43
229,47
230,54
231,53
232,45
233,42
234,47
235,49
236,51
237,42
238,42
239,57
240,49
241,59
242,52
243,47
244,44
245,58
246,48
247,57
248,53
249,53
250,47
251,45
252,53
253,39
254,49
255,43
256,40
257,47
258,48
259,46
260,47
261,50
262,52
263,46
264,51
265,50
266,34
267,41
268,40
269,30
270,45
271,45
272,59
273,37
274,45
275,50
276,54
277,49
278,43
279,38
280,38
281,27
