# minplus histogram
# N=13  p=0.5000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000002000048  wall=11.584s
value,count
1,3763
2,2307
3,1747
4,1390
5,1115
6,997
7,903
8,828
9,718
10,645
11,613
12,590
13,548
14,519
15,496
16,447
17,416
18,413
19,383
20,373
21,375
22,336
23,335
24,302
25,299
26,282
27,301
28,292
29,274
30,263
31,250
32,255
33,237
34,239
35,247
36,239
37,250
38,243
39,212
40,234
41,193
42,199
43,201
44,198
45,203
46,184
47,186
48,191
49,178
50,150
51,174
52,159
53,183
54,205
55,148
56,144
57,164
58,162
59,165
60,146
61,134
62,142
63,139
64,139
65,117
66,141
67,130
68,157
69,139
70,141
71,119
72,117
73,128
74,136
75,140
76,119
77,136
78,117
79,113
80,120
81,106
82,108
83,116
84,106
85,127
86,115
87,103
88,96
89,95
90,119
91,92
92,101
93,101
94,98
95,106
96,107
97,93
98,100
99,98
100,112
101,83
102,91
103,108
104,105
105,95
106,92
107,88
108,80
109,74
110,89
111,107
112,87
113,78
114,80
115,98
116,86
117,75
118,93
119,92
120,83
121,94
122,85
123,68
124,91
125,80
126,85
127,65
128,68
129,82
130,98
131,77
132,75
133,76
134,80
135,76
136,74
137,77
138,71
139,77
140,70
141,77
142,84
143,61
144,69
145,78
146,53
147,88
148,82
149,78
150,69
151,63
152,70
153,74
154,57
155,60
156,77
157,67
158,73
159,66
160,64
161,58
162,70
163,59
164,72
165,59
166,60
167,66
168,61
169,61
170,66
171,56
172,66
173,48
174,55
175,69
176,53
177,69
178,57
179,51
180,61
181,43
182,37
183,56
184,69
185,59
186,59
187,54
188,58
189,51
190,59
191,46
192,65
193,62
194,56
195,43
196,53
197,38
198,63
199,44
200,49
201,61
202,47
203,54
204,50
205,53
206,50
207,56
208,50
209,53
210,42
211,51
212,44
213,43
214,39
215,48
216,51
217,43
218,59
219,50
220,47
221,54
222,49
223,51
224,31
225,39
226,40
227,46
228,51
229,47
230,33
231,48
232,57
233,52
234,54
235,43
236,45
237,41
238,43
239,46
240,38
241,47
242,48
243,42
244,40
245,44
246,44
247,40
248,44
249,47
250,46
251,44
252,41
253,40
254,46
255,42
256,44
257,33
258,34
259,41
260,39
261,49
262,46
263,42
264,39
265,44
266,41
267,38
268,38
269,44
270,38
271,42
272,46
273,42
274,37
275,34
276,45
277,38
278,38
279,39
280,42
281,32
282,33
283,42
284,36
285,37
286,40
287,36
288,36
289,44
290,27
291,29
292,38
293,31
294,37
295,47
296,37
297,41
298,29
299,46
300,28
301,39
302,30
303,43
304,36
305,25
306,39
307,34
308,27
309,32
310,37
311,34
312,35
313,31
314,32
315,46
316,30
317,24
318,33
319,35
320,38
321,30
322,37
323,36
324,31
325,46
326,36
327,25
328,33
329,33
330,43
331,35
332,27
333,27
334,24
335,25
336,29
337,33
338,25
339,28
340,35
341,31
342,46
343,35
344,33
345,29
346,38
347,34
348,30
349,36
350,36
351,39
352,28
353,40
354,29
355,37
356,37
357,23
358,32
359,30
360,34
361,25
362,27
363,35
364,29
365,33
366,37
367,36
368,35
369,22
370,32
371,38
372,25
373,30
374,46
375,26
376,31
377,24
378,38
379,19
380,29
381,30
382,25
383,32
384,35
385,31
386,22
387,32
388,25
389,37
390,33
391,32
392,20
393,29
394,18
395,22
396,27
397,23
398,39
399,21
400,30
401,32
402,31
403,25
404,28
405,21
406,22
407,24
408,19
409,31
410,32
411,25
412,28
413,39
414,30
415,31
416,26
417,27
418,17
419,31
420,32
421,27
422,25
423,22
424,18
425,31
426,24
427,31
428,21
429,22
430,22
431,32
432,29
433,30
434,30
435,33
436,30
437,24
438,28
439,33
440,31
441,29
442,30
443,20
444,22
445,20
446,18
447,15
448,19
449,24
450,23
451,23
452,29
453,18
454,27
455,24
456,18
457,20
458,29
459,25
460,24
461,11
462,39
463,17
464,20
465,37
466,21
467,26
468,26
469,27
470,18
471,26
472,27
473,18
474,31
475,22
