# minplus histogram
# N=21  p=0.4910714286  q=0.0000000000  M=100000  leaves=5  seed=0x0000000000705605  wall=1697.785s
value,count
1,5213
2,3289
3,2326
4,1831
5,1413
6,1278
7,1174
8,1073
9,973
10,856
11,808
12,735
13,659
14,657
15,605
16,556
17,536
18,502
19,488
20,425
21,429
22,435
23,414
24,372
25,348
26,380
27,392
28,375
29,310
30,292
31,321
32,286
33,286
34,277
35,315
36,279
37,252
38,275
39,257
40,255
41,259
42,233
43,246
44,214
45,211
46,198
47,203
48,216
49,233
50,212
51,207
52,199
53,187
54,213
55,181
56,181
57,178
58,178
59,174
60,181
61,176
62,159
63,167
64,167
65,160
66,149
67,156
68,154
69,156
70,114
71,156
72,148
73,113
74,166
75,129
76,143
77,137
78,104
79,127
80,124
81,143
82,136
83,102
84,139
85,137
86,120
87,118
88,113
89,111
90,110
91,107
92,119
93,104
94,111
95,122
96,98
97,99
98,108
99,100
100,102
101,114
102,96
103,114
104,119
105,88
106,113
107,95
108,96
109,91
110,109
111,84
112,89
113,76
114,103
115,93
116,108
117,89
118,102
119,102
120,82
121,107
122,72
123,75
124,105
125,72
126,80
127,73
128,82
129,73
130,90
131,75
132,79
133,81
134,83
135,90
136,91
137,80
138,76
139,78
140,73
141,68
142,68
143,80
144,73
145,78
146,71
147,67
148,64
149,89
150,82
151,77
152,67
153,64
154,62
155,74
156,67
157,78
158,58
159,62
160,64
161,62
162,70
163,62
164,68
165,73
166,78
167,59
168,73
169,60
170,52
171,54
172,71
173,65
174,68
175,60
176,60
177,53
178,53
179,53
180,66
181,79
182,65
183,39
184,65
185,68
186,56
187,62
188,61
189,53
190,57
191,52
192,79
193,58
194,61
195,55
196,50
197,56
198,59
199,59
200,62
201,60
202,40
203,54
204,63
205,50
206,38
207,53
208,59
209,44
210,58
211,62
212,40
213,46
214,62
215,41
216,52
217,53
218,47
219,57
220,48
221,49
222,68
223,55
224,52
225,46
226,45
227,59
228,47
229,53
230,37
231,34
232,46
233,42
234,42
235,31
236,42
237,47
238,53
239,51
240,43
241,59
242,39
243,43
244,43
245,47
246,37
247,45
248,55
249,39
250,44
251,43
252,46
253,50
254,62
255,51
256,42
257,52
258,40
259,37
260,35
261,44
262,53
263,38
264,41
265,48
266,63
267,39
268,36
269,37
270,39
271,39
272,43
273,39
274,34
275,40
276,42
277,39
278,41
279,41
280,38
281,34
282,35
283,28
284,42
285,37
286,41
287,39
288,39
289,45
290,40
291,34
292,26
293,44
294,29
295,32
296,38
297,30
298,35
299,42
300,36
301,48
302,49
303,38
304,39
305,38
306,34
307,32
308,26
309,34
310,40
311,39
312,37
313,33
314,38
315,24
316,38
317,36
318,24
319,31
320,39
321,36
322,44
323,29
324,21
325,23
326,28
327,35
328,33
329,30
330,33
331,38
332,31
333,33
334,23
335,32
336,41
337,32
338,29
339,32
340,26
341,29
342,25
343,32
344,33
345,26
346,25
347,22
348,24
349,29
350,32
351,33
352,26
353,33
354,21
355,26
356,22
357,21
358,38
359,34
360,34
361,32
362,37
363,29
364,28
365,32
