# minplus histogram
# N=13  p=0.5000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000040480085  wall=6.139s
value,count
0,84905
1,3191
2,1912
3,1367
4,1062
5,915
6,749
7,607
8,532
9,481
10,421
11,376
12,364
13,289
14,224
15,257
16,193
17,194
18,186
19,165
20,138
21,148
22,122
23,111
24,85
25,93
26,57
27,77
28,63
29,54
30,52
31,54
32,63
33,62
34,34
35,36
36,36
37,27
38,26
39,23
40,17
41,17
42,25
43,15
44,10
45,9
46,10
47,13
48,12
49,10
50,13
51,10
52,9
53,5
54,7
55,3
56,6
57,4
58,5
59,8
60,5
61,5
62,3
63,2
64,3
65,3
66,2
68,2
70,1
71,3
73,3
76,1
77,1
79,1
80,1
84,1
85,1
87,1
94,1
101,1
